,nodes_pred,nodes_Conv_clas,nodes_Dense_clas,kernel_size,strides,learning_rate_pred,learning_rate_clas,batch_sizes_pred,batch_sizes_clas,val_treshold_pred,val_treshold_clas,max_val_amount_pred,max_val_amount_clas,val_freq_pred,val_freq_clas,EPOCHS_pred,EPOCHS_clas,time_steps,trials,brain_areas,mse_pred,mse_clas,true_positive_clas,true_negative_clas,STOP_pred,STOP_clas,time,brain_area
0,50,10,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,20,20,10,10,1000,0.6261742763256043,0.24632144488167648,0.0,1.0,Max_epochs,Max Epochs,0.43483757972717285,115
1,50,10,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,20,20,10,10,1000,0.5834877650924386,0.2504701087670048,0.3333333333333333,0.7142857142857143,Max_epochs,Max Epochs,0.4580698013305664,115
2,75,15,7,3,2,0.0001,0.0001,50,10,1e-09,1e-09,100,100,50,5,22,22,10,10,1000,0.13460524806150784,0.22281493968274563,0.0,1.0,Max_epochs,Max Epochs,0.3667154312133789,115
3,100,20,9,4,3,5e-05,5e-05,100,25,1e-10,1e-10,200,200,100,10,24,24,10,10,1000,0.11581991408753088,0.25009719442739425,1.0,0.0,Max_epochs,Max Epochs,0.31267428398132324,115
4,125,20,9,4,3,1e-05,5e-05,200,25,1e-10,1e-10,200,200,25,10,26,24,10,10,1000,0.12785330346298548,0.2451908009213482,0.0,1.0,Max_epochs,Max Epochs,0.35106396675109863,115
5,150,25,11,5,2,5e-06,1e-05,200,50,1e-09,1e-08,50,50,50,5,28,26,10,10,1000,0.09503943960379548,0.24015523380657272,0.0,1.0,Max_epochs,Max Epochs,0.3949446678161621,115
6,175,30,13,6,1,1e-06,5e-06,100,5,1e-10,1e-09,100,50,50,10,30,28,10,10,1000,0.131312348355442,0.26074629707133423,1.0,0.0,Max_epochs,Max Epochs,0.4707779884338379,115
7,150,30,13,6,1,0.0001,5e-06,50,5,1e-08,1e-09,200,200,100,5,32,28,10,10,1000,0.12181703826289679,0.24414911040640286,0.0,1.0,Max_epochs,Max Epochs,0.545508861541748,115
8,100,35,15,7,1,0.005,1e-06,25,10,1e-08,1e-08,100,50,50,10,34,30,10,10,1000,0.7513768006041088,0.2895252784858151,1.0,0.0,Max_epochs,Max Epochs,0.5634925365447998,115
9,125,35,15,7,3,5e-06,1e-06,100,10,1e-09,1e-10,100,50,25,10,36,30,10,10,1000,0.06340035008301283,0.22871111346256479,0.0,1.0,Max_epochs,Max Epochs,0.4264192581176758,115
10,50,10,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,20,20,10,10,1000,0.9053788812592419,0.18410003328530228,0.0,1.0,Max_epochs,Max Epochs,0.39833760261535645,231
11,50,10,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,20,20,10,10,1000,0.5456019178222844,0.2224172598190361,0.0,1.0,Max_epochs,Max Epochs,0.48171257972717285,231
12,75,15,7,3,2,0.0001,0.0001,50,10,1e-09,1e-09,100,100,50,5,22,22,10,10,1000,0.14322118617831706,0.22452998134220384,0.0,1.0,Max_epochs,Max Epochs,0.3764188289642334,231
13,100,20,9,4,3,5e-05,5e-05,100,25,1e-10,1e-10,200,200,100,10,24,24,10,10,1000,0.07514349700145337,0.23949378926469816,0.0,1.0,Max_epochs,Max Epochs,0.3639061450958252,231
14,125,25,11,5,1,1e-05,1e-05,200,50,1e-09,1e-08,100,100,100,2,26,26,10,10,1000,0.15645256031857263,0.26228706506319915,1.0,0.0,Max_epochs,Max Epochs,0.45224642753601074,231
15,150,25,11,5,2,5e-06,1e-05,100,50,1e-10,1e-08,50,100,100,2,28,26,10,10,1000,0.12798471703135794,0.22517527067412368,0.0,1.0,Max_epochs,Max Epochs,0.42985057830810547,231
