,nodes_pred,nodes_Conv_clas,nodes_Dense_clas,kernel_size,strides,learning_rate_pred,learning_rate_clas,batch_sizes_pred,batch_sizes_clas,val_treshold_pred,val_treshold_clas,max_val_amount_pred,max_val_amount_clas,val_freq_pred,val_freq_clas,EPOCHS_pred,EPOCHS_clas,time_steps,trials,brain_areas,mse_pred,mse_clas,true_positive_clas,true_negative_clas,STOP_pred,STOP_clas,time,brain_area
0,50,15,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,15,15,100,1000,1000,0.03559908511838518,0.2263737317964477,0.0,1.0,Max val increment,Max val increment,19.05173110961914,115
1,50,15,5,2,1,0.005,0.005,25,5,1e-08,1e-08,50,50,25,2,15,15,100,1000,1000,0.03188595675179264,0.22282428760501,0.0,1.0,Max val increment,Max val increment,22.497220039367676,115
2,50,15,5,4,1,0.005,0.0001,50,5,1e-08,1e-09,50,100,25,2,15,20,100,1000,1000,0.031820507518084525,0.22421042637374922,0.0,1.0,Max val increment,Max val increment,22.4790678024292,115
3,50,20,10,6,2,0.005,0.005,25,10,1e-09,1e-10,50,50,50,5,15,25,100,1000,1000,0.03414947449872267,0.22342946093937507,0.0,1.0,Max val increment,Max val increment,22.459319829940796,115
4,50,25,15,2,3,0.0001,5e-05,25,25,1e-10,1e-08,50,200,25,10,15,30,100,1000,1000,0.02797459332323743,0.22230829961028353,0.0,1.0,Max val increment,Max Epochs,23.745564937591553,115
5,50,30,20,8,3,0.005,1e-05,50,50,1e-08,1e-10,100,100,25,2,15,25,100,1000,1000,0.03433740833419557,0.2233919311048935,0.0,1.0,Max val increment,Max Epochs,22.727164268493652,115
6,50,35,25,10,1,0.005,0.0001,25,25,1e-10,1e-09,50,50,50,5,15,15,100,1000,1000,0.03928730340219141,0.22282111441018115,0.0,1.0,Max val increment,Max val increment,22.23859190940857,115
7,50,40,20,4,2,0.0001,5e-05,50,10,1e-08,1e-09,50,50,25,10,15,35,100,1000,1000,0.028491997422446604,0.2141488413760664,0.0,1.0,Max val increment,Max val increment,22.91815185546875,115
8,50,45,15,6,1,0.005,0.005,100,5,1e-09,1e-08,50,100,50,5,20,40,100,1000,1000,0.03150261418643154,0.22213569634321403,0.0,1.0,Max val increment,Max val increment,23.024959087371826,115
9,75,15,5,10,3,5e-05,5e-05,50,50,1e-09,1e-10,50,100,100,5,20,30,100,1000,1000,0.024207651766980292,0.22267750519920948,0.0,1.0,Max val increment,Max Epochs,28.768465042114258,115
10,75,25,15,2,1,0.0001,1e-05,50,5,1e-09,1e-08,50,100,100,2,15,35,100,1000,1000,0.02615764797620384,0.22217455171309103,0.0,1.0,Max val increment,Max val increment,23.37290906906128,115
11,100,25,25,2,1,1e-05,0.0001,100,5,1e-10,1e-09,50,100,100,2,25,15,100,1000,1000,0.024698859825652154,0.222743303293812,0.0,1.0,Max val increment,Max val increment,30.685144901275635,115
12,125,40,10,8,3,1e-05,1e-05,25,10,1e-10,1e-09,200,200,100,10,20,20,100,1000,1000,0.02984606327263036,0.2246847057170501,0.0,1.0,Max val increment,Max Epochs,44.840023040771484,115
13,150,45,20,8,2,5e-05,0.005,200,50,1e-08,1e-08,100,200,100,5,30,40,100,1000,1000,0.029165260332624454,0.22224743032144376,0.0,1.0,Max_epochs,Max Epochs,30.06303596496582,115
14,175,40,5,6,1,5e-06,5e-05,100,25,1e-08,1e-10,100,100,50,2,30,40,100,1000,1000,0.02795935386989242,0.2082745721902071,0.0,1.0,Max val increment,Max val increment,37.14304208755493,115
15,50,15,5,8,2,1e-06,0.0001,50,25,1e-09,1e-08,200,50,25,10,25,20,100,1000,1000,0.030068389973023246,0.22357374940921992,0.0,1.0,Max val increment,Max Epochs,28.50684905052185,115
16,75,35,10,8,2,1e-05,0.005,200,10,1e-08,1e-08,200,200,100,5,35,15,100,1000,1000,0.029067633132526936,0.2014959630109264,0.3213213213213213,0.9640179910044977,Max_epochs,Max Epochs,29.715484857559204,115
17,50,15,5,10,2,5e-06,1e-05,200,50,1e-08,1e-10,100,200,100,5,35,15,100,1000,1000,0.03073181327601523,0.24204749715294746,0.0,1.0,Max_epochs,Max Epochs,27.72116184234619,115
18,50,15,20,2,3,1e-05,0.0001,25,10,1e-08,1e-08,200,200,100,10,35,30,100,1000,1000,0.028544671732526537,0.20112256130773354,0.12912912912912913,0.9880059970014993,Max val increment,Max Epochs,40.737951040267944,115
19,75,35,5,8,2,5e-05,0.005,200,25,1e-10,1e-09,200,200,100,5,40,20,100,1000,1000,0.028331108113407846,0.2285052043842653,0.0,1.0,Max_epochs,Max Epochs,30.19415283203125,115
20,125,30,15,6,3,5e-06,0.0001,25,10,1e-08,1e-08,100,200,100,10,35,15,100,1000,1000,0.02767160073582377,0.07674820456131508,0.8708708708708709,0.9085457271364318,Max val increment,Max Epochs,43.725666761398315,115
21,100,15,20,6,2,1e-05,1e-05,200,50,1e-08,1e-10,200,200,100,5,40,15,100,1000,1000,0.028533272971764577,0.22858608795582552,0.0,1.0,Max_epochs,Max Epochs,30.331587076187134,115
22,50,15,5,8,3,5e-05,0.0001,25,10,1e-10,1e-08,100,200,100,10,30,15,100,1000,1000,0.02715141174793202,0.21201225528193623,0.08408408408408409,0.9790104947526237,Max val increment,Max Epochs,36.788662910461426,115
23,50,35,10,2,2,1e-05,5e-05,200,25,1e-08,1e-09,200,50,25,10,40,20,100,1000,1000,0.028211080545975833,0.22721335852769975,0.0,1.0,Max_epochs,Max Epochs,30.936808109283447,115
24,75,15,15,8,2,5e-06,0.005,50,10,1e-08,1e-09,100,50,25,10,40,20,100,1000,1000,0.028289042448266532,0.212028112285475,0.14414414414414414,0.9790104947526237,Max val increment,Max val increment,35.73562812805176,115
25,50,30,5,10,3,1e-06,0.0001,25,50,1e-10,1e-09,200,50,25,2,15,25,100,1000,1000,0.03134980887274403,0.21672165135619464,0.0,1.0,Max val increment,Max Epochs,28.65700912475586,115
26,50,25,20,8,2,1e-05,1e-05,200,10,1e-08,1e-09,200,50,25,10,25,20,100,1000,1000,0.028857724231260273,0.22412242697357665,0.0,1.0,Max_epochs,Max val increment,26.46925377845764,115
27,50,15,5,6,3,5e-05,0.005,200,25,1e-08,1e-09,100,50,25,10,40,20,100,1000,1000,0.028344850833885365,0.20073696619013254,0.0,1.0,Max val increment,Max val increment,25.815919160842896,115
28,75,35,10,2,2,5e-06,0.0001,50,5,1e-08,1e-09,200,50,25,2,40,20,100,1000,1000,0.029127670125728533,0.2205450003255694,0.0,1.0,Max val increment,Max val increment,38.23264694213867,115
